OP Type,Op Name,total_time_us,calls,max_time_us,avg_time_us
,Conv2D32,7333.937,2,3678.104,3666.9685
,BatchMatMul413,10777.772,4,2716.438,2694.443
,MaxPoolWithArgmaxV140,5148.959,2,2575.917,2574.4795
,SoftmaxV2414,7704.459,4,1950.167,1926.11475
,MatMul421,6520.729,4,1647.354,1630.18225
,MatMul419,6126.688,4,1611.833,1531.672
,BatchMatMul415,5417.645,4,1436.146,1354.41125
,Relu39,2301.437,2,1160.625,1150.7185
,Add38,2197.25,2,1106.417,1098.625
,Mul37,2159.313,2,1116.042,1079.6565
,Conv2D76,4775.52,6,855.5,795.9200000000001
,ReduceMean417,2970.75,4,785.562,742.6875
,AsStrided96,2609.3540000000003,4,665.708,652.3385000000001
,AsStrided98,2591.375,4,650.25,647.84375
,trans_TransData_18,1195.313,2,598.646,597.6565
,MatMul438,489.542,1,489.542,489.542
,Sub26,920.48,2,472.938,460.24
,Conv2D65,2668.687,6,466.583,444.78116666666665
,Conv2D41,3529.291,8,559.125,441.161375
,RealDiv28,847.104,2,426.5,423.552
,Cast31,843.25,2,462.021,421.625
,BatchMatMul434,416.146,1,416.146,416.146
,Conv2D54,2432.958,6,408.833,405.493
,Relu420,1546.771,4,392.625,386.69275
,Add45,1534.73,4,401.5,383.6825
,Conv2D68,748.146,2,380.646,374.073
,MatMul440,339.312,1,339.312,339.312
,SoftmaxV2435,285.729,1,285.729,285.729
,Conv2D57,569.396,2,285.354,284.698
,LayerNorm418,1824.979,8,229.604,228.122375
,Transpose412,1073.125,5,235.229,214.625
,Conv2D46,425.125,2,213.208,212.5625
,MatMul409,3521.458,18,261.271,195.63655555555556
,Conv2D55,328.83399999999995,2,164.646,164.41699999999997
,Transpose102,326.77099999999996,2,165.833,163.38549999999998
,Mul42,1197.833,8,190.25,149.729125
,Add56,588.751,4,150.917,147.18775
,Relu44,1087.563,8,150.021,135.945375
,Add43,1065.125,8,133.542,133.140625
,SoftmaxV2429,119.125,1,119.125,119.125
,Conv2D66,224.5,2,130.521,112.25
,Conv2D104,214.73000000000002,2,108.792,107.36500000000001
,Transpose416,421.395,4,106.479,105.34875
,trans_TransData_55,61422.582,600,130.792,102.37097
,Transpose410,858.437,9,124.167,95.3818888888889
,Add408,1090.127,13,105.146,83.85592307692308
,Conv2D77,162.85399999999998,2,84.792,81.42699999999999
,ReduceMean437,79.729,1,79.729,79.729
,BatchMatMul436,75.438,1,75.438,75.438
,Add52,668.645,10,69.062,66.86449999999999
,Mul51,668.208,10,68.292,66.82079999999999
,Relu53,522.397,8,67.771,65.299625
,MatMul424,367.41700000000003,6,73.271,61.23616666666667
,Transpose427,58.938,1,58.938,58.938
,Add67,233.063,4,70.938,58.26575
,Cumsum82,114.479,2,57.583,57.2395
,Cos99,225.35399999999998,4,57.292,56.338499999999996
,Sin97,221.147,4,56.521,55.28675
,ConcatD101,89.417,2,45.542,44.7085
,Pack407/PackBase_node0,79.125,2,39.583,39.5625
,Relu439,37.021,1,37.021,37.021
,Mul411,141.542,4,36.729,35.3855
,LayerNorm433,138.458,4,36.208,34.6145
,Add63,339.813,10,35.083,33.9813
,Mul62,338.58500000000004,10,35.104,33.85850000000001
,Relu64,268.541,8,34.938,33.567625
,Pack100,126.291,4,33.604,31.57275
,BatchMatMul430,30.979,1,30.979,30.979
,Add78,118.353,4,33.729,29.58825
,BatchMatMul428,25.854,1,25.854,25.854
,Cast103,49.083,2,25.083,24.5415
,Mul73,231.023,10,27.917,23.1023
,AsStrided106,88.417,4,37.792,22.10425
,Transpose431,42.687,2,22.333,21.3435
,Add74,182.335,10,19.146,18.2335
,Relu75,143.189,8,19.021,17.898625
,Transpose425,52.417,3,18.396,17.472333333333335
,ReduceMean432,16.375,1,16.375,16.375
,AsStrided242,60.375,4,16.521,15.09375
,AsStrided177,60.292,4,17.125,15.073
,AsStrided403,60.209,4,16.042,15.05225
,AsStrided337,60.187,4,16.25,15.04675
,AsStrided315,60.167,4,16.667,15.04175
,AsStrided223,60.104,4,17.438,15.026
,AsStrided282,60.042,4,16.292,15.0105
,AsStrided146,60.0,4,16.562,15.0
,AsStrided370,59.938,4,16.688,14.9845
,AsStrided225,59.938,4,16.5,14.9845
,AsStrided395,59.938,4,16.396,14.9845
,AsStrided238,59.917,4,16.792,14.97925
,AsStrided274,59.916,4,16.833,14.979
,AsStrided201,59.916,4,16.812,14.979
,AsStrided267,59.812,4,16.146,14.953
,AsStrided151,59.771,4,16.438,14.94275
,AsStrided200,59.75,4,17.167,14.9375
,AsStrided272,59.729,4,16.333,14.93225
,AsStrided216,59.708,4,16.396,14.927
,AsStrided262,59.708,4,16.917,14.927
,AsStrided209,59.689,4,16.938,14.92225
,AsStrided208,59.647,4,16.438,14.91175
,AsStrided119,59.625,4,16.375,14.90625
,AsStrided302,59.605000000000004,4,16.479,14.901250000000001
,AsStrided114,59.603,4,16.562,14.90075
,AsStrided243,59.563,4,16.542,14.89075
,AsStrided139,59.563,4,16.417,14.89075
,AsStrided336,59.561,4,16.312,14.89025
,AsStrided286,59.542,4,17.146,14.8855
,AsStrided239,59.541,4,16.958,14.88525
,AsStrided382,59.541,4,16.458,14.88525
,AsStrided197,59.521,4,16.458,14.88025
,AsStrided187,59.521,4,16.479,14.88025
,AsStrided251,59.5,4,16.75,14.875
,AsStrided246,59.499,4,16.812,14.87475
,AsStrided365,59.479,4,16.312,14.86975
,AsStrided402,59.479,4,15.854,14.86975
,AsStrided191,59.479,4,16.917,14.86975
,AsStrided172,59.459,4,17.125,14.86475
,AsStrided324,59.438,4,16.5,14.8595
,AsStrided279,59.438,4,16.479,14.8595
,AsStrided295,59.438,4,16.521,14.8595
,AsStrided207,59.438,4,16.979,14.8595
,AsStrided367,59.437,4,16.312,14.85925
,AsStrided215,59.417,4,16.396,14.85425
,AsStrided357,59.396,4,16.292,14.849
,AsStrided310,59.395,4,16.271,14.84875
,AsStrided400,59.394999999999996,4,16.208,14.848749999999999
,AsStrided249,59.373999999999995,4,16.958,14.843499999999999
,AsStrided405,59.354,4,16.646,14.8385
,AsStrided338,59.334,4,16.438,14.8335
,AsStrided123,59.333,4,16.562,14.83325
,AsStrided346,59.333,4,16.208,14.83325
,AsStrided248,59.313,4,16.333,14.82825
,AsStrided134,59.312,4,16.208,14.828
,AsStrided182,59.292,4,17.021,14.823
,AsStrided129,59.292,4,16.292,14.823
,AsStrided152,59.291,4,16.583,14.82275
,AsStrided130,59.291,4,16.583,14.82275
,AsStrided294,59.291,4,16.583,14.82275
,AsStrided154,59.271,4,16.625,14.81775
,AsStrided110,59.271,4,16.729,14.81775
,AsStrided287,59.27,4,16.812,14.8175
,AsStrided224,59.25,4,16.458,14.8125
,AsStrided355,59.25,4,16.188,14.8125
,AsStrided260,59.25,4,16.396,14.8125
,AsStrided328,59.25,4,16.542,14.8125
,AsStrided245,59.25,4,16.396,14.8125
,AsStrided165,59.25,4,16.792,14.8125
,AsStrided109,59.229,4,16.479,14.80725
,AsStrided396,59.229,4,16.375,14.80725
