Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,Abs15,KERNEL_AIVEC,1,44,3.791,1763720841332106.657	,1763720841332110.448	
0,Equal16,KERNEL_AIVEC,1,45,4.541,1763720841808340.511	,1763720841808345.052	
0,ReduceAny17,KERNEL_AIVEC,1,46,3.958,1763720842254081.469	,1763720842254085.427	
0,Abs15,KERNEL_AIVEC,1,47,2.833,1763720842255077.053	,1763720842255079.886	
0,Equal16,KERNEL_AIVEC,1,48,2.645,1763720842255170.365	,1763720842255173.010	
0,ReduceAny17,KERNEL_AIVEC,1,49,1.937,1763720842255252.199	,1763720842255254.136	
0,Cast18,KERNEL_AIVEC,1,50,3.937,1763720842738818.886	,1763720842738822.823	
0,Sub19,KERNEL_AIVEC,1,51,3.666,1763720843215657.699	,1763720843215661.365	
0,Add20,KERNEL_AIVEC,1,52,4.104,1763720843692847.969	,1763720843692852.073	
0,Cast18,KERNEL_AIVEC,1,53,2.166,1763720843693023.094	,1763720843693025.260	
0,RealDiv21,KERNEL_AIVEC,1,54,4.02,1763720844174972.969	,1763720844174976.989	
0,Abs22,KERNEL_AIVEC,1,55,3.875,1763720844620840.740	,1763720844620844.615	
0,Equal23,KERNEL_AIVEC,1,56,4.395,1763720845085567.803	,1763720845085572.198	
0,ReduceAny24,KERNEL_AIVEC,1,57,4.02,1763720845535907.240	,1763720845535911.260	
0,Abs22,KERNEL_AIVEC,1,58,2.229,1763720845536492.136	,1763720845536494.365	
0,Equal23,KERNEL_AIVEC,1,59,2.854,1763720845536618.428	,1763720845536621.282	
0,ReduceAny24,KERNEL_AIVEC,1,60,2.104,1763720845536891.449	,1763720845536893.553	
0,Cast25,KERNEL_AIVEC,1,61,3.77,1763720846008020.219	,1763720846008023.989	
0,Sub26,KERNEL_AIVEC,1,62,472.937,1763720846476714.074	,1763720846477187.011	
0,Add27,KERNEL_AIVEC,1,63,3.625,1763720846957330.449	,1763720846957334.074	
0,Cast25,KERNEL_AIVEC,1,64,2.208,1763720846957487.615	,1763720846957489.823	
0,RealDiv28,KERNEL_AIVEC,1,65,420.604,1763720847415083.115	,1763720847415503.719	
0,Abs22,KERNEL_AIVEC,1,66,2.479,1763720847415503.803	,1763720847415506.282	
0,Equal23,KERNEL_AIVEC,1,67,2.937,1763720847415506.344	,1763720847415509.281	
0,ReduceAny24,KERNEL_AIVEC,1,68,2.27,1763720847415525.824	,1763720847415528.094	
0,Abs22,KERNEL_AIVEC,1,69,2.02,1763720847416248.094	,1763720847416250.114	
0,Equal23,KERNEL_AIVEC,1,70,2.25,1763720847416314.740	,1763720847416316.990	
0,ReduceAny24,KERNEL_AIVEC,1,71,2.0,1763720847416369.844	,1763720847416371.844	
0,Cast25,KERNEL_AIVEC,1,72,2.229,1763720847416669.990	,1763720847416672.219	
0,Sub26,KERNEL_AIVEC,1,73,447.541,1763720847416737.469	,1763720847417185.010	
0,Add27,KERNEL_AIVEC,1,74,2.437,1763720847417185.074	,1763720847417187.511	
0,Cast25,KERNEL_AIVEC,1,75,2.02,1763720847417187.574	,1763720847417189.594	
0,RealDiv28,KERNEL_AIVEC,1,76,426.5,1763720847417189.678	,1763720847417616.178	
0,trans_Cast_12,KERNEL_AIVEC,1,77,7.833,1763720848196207.636	,1763720848196215.469	
0,trans_Cast_13,KERNEL_AIVEC,1,78,2.583,1763720848196258.594	,1763720848196261.177	
0,MatMul29,KERNEL_AICORE,1,79,9.208,1763720848196295.303	,1763720848196304.511	
0,trans_Cast_14,KERNEL_AIVEC,1,80,2.395,1763720848196320.136	,1763720848196322.531	
0,trans_Cast_15,KERNEL_AIVEC,1,81,5.083,1763720848760423.303	,1763720848760428.386	
0,trans_Cast_16,KERNEL_AIVEC,1,82,2.645,1763720848760490.053	,1763720848760492.698	
0,MatMul30,KERNEL_AICORE,1,83,10.708,1763720848760524.407	,1763720848760535.115	
0,trans_Cast_17,KERNEL_AIVEC,1,84,2.479,1763720848760555.532	,1763720848760558.011	
0,Cast31,KERNEL_AIVEC,1,85,381.229,1763720849252168.990	,1763720849252550.219	
0,trans_TransData_18,KERNEL_AIVEC,1,86,598.645,1763720849782056.074	,1763720849782654.719	
0,Conv2D32,KERNEL_AICORE,1,87,3678.104,1763720849782654.782	,1763720849786332.886	
0,Add33,KERNEL_AIVEC,1,88,3.687,1763720850282203.157	,1763720850282206.844	
0,Rsqrt34,KERNEL_AIVEC,1,89,3.812,1763720850754919.907	,1763720850754923.719	
0,Mul35,KERNEL_AIVEC,1,90,4.229,1763720851215392.594	,1763720851215396.823	
0,Mul35,KERNEL_AIVEC,1,91,2.0,1763720851215533.553	,1763720851215535.553	
0,Sub36,KERNEL_AIVEC,1,92,3.812,1763720851687094.532	,1763720851687098.344	
0,trans_TransData_19,KERNEL_AIVEC,1,93,3.812,1763720852201206.261	,1763720852201210.073	
0,Mul37,KERNEL_AIVEC,1,94,1043.27,1763720852201296.324	,1763720852202339.594	
0,trans_TransData_20,KERNEL_AIVEC,1,95,3.729,1763720852712173.615	,1763720852712177.344	
0,Add38,KERNEL_AIVEC,1,96,1106.416,1763720852712270.678	,1763720852713377.094	
0,Relu39,KERNEL_AIVEC,1,97,1160.625,1763720853160750.782	,1763720853161911.407	
0,MaxPoolWithArgmaxV140,KERNEL_AIVEC,1,98,2575.916,1763720853615204.969	,1763720853617780.885	
0,Conv2D41,KERNEL_AICORE,1,99,559.125,1763720854103385.907	,1763720854103945.032	
0,Add33,KERNEL_AIVEC,1,100,2.916,1763720854103945.094	,1763720854103948.010	
0,Rsqrt34,KERNEL_AIVEC,1,101,2.354,1763720854103948.074	,1763720854103950.428	
0,Mul35,KERNEL_AIVEC,1,102,2.666,1763720854103950.490	,1763720854103953.156	
0,Mul35,KERNEL_AIVEC,1,103,2.083,1763720854103953.240	,1763720854103955.323	
0,Sub36,KERNEL_AIVEC,1,104,2.395,1763720854103955.407	,1763720854103957.802	
0,trans_TransData_21,KERNEL_AIVEC,1,105,4.02,1763720854604063.803	,1763720854604067.823	
0,Mul42,KERNEL_AIVEC,1,106,189.666,1763720854604117.386	,1763720854604307.052	
0,trans_TransData_22,KERNEL_AIVEC,1,107,4.0,1763720855100853.990	,1763720855100857.990	
0,Add43,KERNEL_AIVEC,1,108,133.312,1763720855100906.324	,1763720855101039.636	
0,Relu44,KERNEL_AIVEC,1,109,130.104,1763720855576818.261	,1763720855576948.365	
0,Conv2D41,KERNEL_AICORE,1,110,407.02,1763720855577023.803	,1763720855577430.823	
0,Add33,KERNEL_AIVEC,1,111,2.604,1763720855577430.886	,1763720855577433.490	
0,Rsqrt34,KERNEL_AIVEC,1,112,2.437,1763720855577433.574	,1763720855577436.011	
0,Mul35,KERNEL_AIVEC,1,113,2.52,1763720855577436.094	,1763720855577438.614	
0,Mul35,KERNEL_AIVEC,1,114,2.083,1763720855577438.699	,1763720855577440.782	
0,Sub36,KERNEL_AIVEC,1,115,2.375,1763720855577440.865	,1763720855577443.240	
0,trans_TransData_21,KERNEL_AIVEC,1,116,2.291,1763720855577443.303	,1763720855577445.594	
0,Mul42,KERNEL_AIVEC,1,117,135.208,1763720855577453.719	,1763720855577588.927	
0,trans_TransData_22,KERNEL_AIVEC,1,118,2.187,1763720855577588.990	,1763720855577591.177	
0,Add43,KERNEL_AIVEC,1,119,133.479,1763720855577591.261	,1763720855577724.740	
0,Add45,KERNEL_AIVEC,1,120,377.02,1763720856036188.990	,1763720856036566.010	
0,Relu44,KERNEL_AIVEC,1,121,144.937,1763720856037285.324	,1763720856037430.261	
0,Conv2D41,KERNEL_AICORE,1,122,398.958,1763720856037430.344	,1763720856037829.302	
0,Add33,KERNEL_AIVEC,1,123,2.395,1763720856037829.386	,1763720856037831.781	
0,Rsqrt34,KERNEL_AIVEC,1,124,2.333,1763720856037831.865	,1763720856037834.198	
0,Mul35,KERNEL_AIVEC,1,125,2.541,1763720856037834.261	,1763720856037836.802	
0,Mul35,KERNEL_AIVEC,1,126,2.125,1763720856037836.886	,1763720856037839.011	
0,Sub36,KERNEL_AIVEC,1,127,2.937,1763720856037959.240	,1763720856037962.177	
0,trans_TransData_21,KERNEL_AIVEC,1,128,2.416,1763720856038056.949	,1763720856038059.365	
0,Mul42,KERNEL_AIVEC,1,129,135.25,1763720856038086.532	,1763720856038221.782	
0,trans_TransData_22,KERNEL_AIVEC,1,130,2.354,1763720856038221.844	,1763720856038224.198	
0,Add43,KERNEL_AIVEC,1,131,133.437,1763720856038224.261	,1763720856038357.698	
0,Relu44,KERNEL_AIVEC,1,132,127.791,1763720856038357.782	,1763720856038485.573	
0,Conv2D41,KERNEL_AICORE,1,133,404.437,1763720856038485.657	,1763720856038890.094	
0,Add33,KERNEL_AIVEC,1,134,2.187,1763720856038890.157	,1763720856038892.344	
0,Rsqrt34,KERNEL_AIVEC,1,135,2.145,1763720856038892.428	,1763720856038894.573	
0,Mul35,KERNEL_AIVEC,1,136,2.125,1763720856038894.657	,1763720856038896.782	
0,Mul35,KERNEL_AIVEC,1,137,2.083,1763720856038896.865	,1763720856038898.948	
0,Sub36,KERNEL_AIVEC,1,138,2.291,1763720856038899.032	,1763720856038901.323	
0,trans_TransData_21,KERNEL_AIVEC,1,139,1.916,1763720856038901.386	,1763720856038903.302	
0,Mul42,KERNEL_AIVEC,1,140,138.979,1763720856038903.365	,1763720856039042.344	
0,trans_TransData_22,KERNEL_AIVEC,1,141,3.0,1763720856039042.407	,1763720856039045.407	
0,Add43,KERNEL_AIVEC,1,142,133.0,1763720856039045.490	,1763720856039178.490	
0,Add45,KERNEL_AIVEC,1,143,375.02,1763720856039178.553	,1763720856039553.573	
0,Relu44,KERNEL_AIVEC,1,144,139.062,1763720856039553.636	,1763720856039692.698	
0,Conv2D46,KERNEL_AICORE,1,145,213.208,1763720856527060.407	,1763720856527273.615	
0,Add47,KERNEL_AIVEC,1,146,4.187,1763720857013893.199	,1763720857013897.386	
0,Rsqrt48,KERNEL_AIVEC,1,147,3.604,1763720857460367.782	,1763720857460371.386	
0,Mul49,KERNEL_AIVEC,1,148,3.895,1763720857933631.907	,1763720857933635.802	
0,Mul49,KERNEL_AIVEC,1,149,2.0,1763720857933753.178	,1763720857933755.178	
0,Sub50,KERNEL_AIVEC,1,150,4.062,1763720858442250.928	,1763720858442254.990	
0,trans_TransData_23,KERNEL_AIVEC,1,151,3.666,1763720858948152.553	,1763720858948156.219	
0,Mul51,KERNEL_AIVEC,1,152,68.041,1763720858948221.053	,1763720858948289.094	
0,trans_TransData_24,KERNEL_AIVEC,1,153,4.02,1763720859451197.678	,1763720859451201.698	
0,Add52,KERNEL_AIVEC,1,154,68.354,1763720859451252.886	,1763720859451321.240	
0,Relu53,KERNEL_AIVEC,1,155,67.77,1763720859894950.761	,1763720859895018.531	
0,Conv2D54,KERNEL_AICORE,1,156,405.666,1763720860379567.324	,1763720860379972.990	
0,Add47,KERNEL_AIVEC,1,157,2.52,1763720860379973.053	,1763720860379975.573	
0,Rsqrt48,KERNEL_AIVEC,1,158,2.541,1763720860379975.636	,1763720860379978.177	
0,Mul49,KERNEL_AIVEC,1,159,2.229,1763720860379978.240	,1763720860379980.469	
0,Mul49,KERNEL_AIVEC,1,160,2.041,1763720860379980.532	,1763720860379982.573	
0,Sub50,KERNEL_AIVEC,1,161,2.437,1763720860380016.178	,1763720860380018.615	
0,trans_TransData_23,KERNEL_AIVEC,1,162,2.25,1763720860380087.553	,1763720860380089.803	
0,Mul51,KERNEL_AIVEC,1,163,65.479,1763720860380114.219	,1763720860380179.698	
0,trans_TransData_24,KERNEL_AIVEC,1,164,2.291,1763720860380179.782	,1763720860380182.073	
0,Add52,KERNEL_AIVEC,1,165,65.5,1763720860380195.199	,1763720860380260.699	
0,Conv2D55,KERNEL_AICORE,1,166,164.187,1763720860858257.219	,1763720860858421.406	
0,Add47,KERNEL_AIVEC,1,167,2.75,1763720860858525.032	,1763720860858527.782	
0,Rsqrt48,KERNEL_AIVEC,1,168,3.312,1763720860858640.803	,1763720860858644.115	
0,Mul49,KERNEL_AIVEC,1,169,2.187,1763720860858700.344	,1763720860858702.531	
0,Mul49,KERNEL_AIVEC,1,170,2.0,1763720860858744.740	,1763720860858746.740	
