OP Type,Op Name,total_time_us,calls,max_time_us,avg_time_us
,Conv2D32,14433.332,4,3611.083,3608.333
,BatchMatMul413,21682.914,8,2724.083,2710.36425
,MaxPoolWithArgmaxV140,10322.208,4,2587.271,2580.552
,SoftmaxV2414,15468.624,8,1976.458,1933.578
,MatMul421,13153.748,8,1743.104,1644.2185
,MatMul419,11980.792,8,1535.229,1497.599
,BatchMatMul415,10923.542,8,1552.896,1365.44275
,Relu39,4784.042,4,1215.188,1196.0105
,Add38,4270.376,4,1084.167,1067.594
,Mul37,4050.46,4,1022.292,1012.615
,Conv2D76,9393.666000000001,12,810.979,782.8055
,ReduceMean417,5802.666,8,733.833,725.33325
,AsStrided96,5186.668,8,650.771,648.3335
,AsStrided98,5181.46,8,650.438,647.6825
,trans_TransData_18,2371.916,4,593.146,592.979
,MatMul438,1036.0,2,518.0,518.0
,Conv2D65,5372.002,12,469.542,447.6668333333334
,Sub26,1756.376,4,464.917,439.094
,Conv2D41,7007.916,16,541.604,437.99475
,BatchMatMul434,836.042,2,418.021,418.021
,Cast31,1670.25,4,455.479,417.5625
,RealDiv28,1654.29,4,440.062,413.5725
,Conv2D54,4865.958,12,408.625,405.49649999999997
,Relu420,3095.792,8,409.438,386.974
,Conv2D68,1489.126,4,378.688,372.2815
,Add45,2977.416,8,384.75,372.177
,MatMul440,667.75,2,333.875,333.875
,SoftmaxV2435,592.584,2,296.292,296.292
,Conv2D57,1146.6660000000002,4,287.0,286.66650000000004
,LayerNorm418,3653.208,16,230.25,228.3255
,Conv2D46,851.376,4,214.5,212.844
,Transpose412,2103.25,10,227.417,210.325
,MatMul409,6982.416,36,262.229,193.95600000000002
,Conv2D55,652.876,4,166.75,163.219
,Transpose102,632.208,4,161.646,158.052
,Add56,1206.666,8,159.958,150.83325
,Mul42,2385.748,16,192.229,149.10925
,Relu44,2177.916,16,146.958,136.11975
,Add43,2131.418,16,133.875,133.213625
,SoftmaxV2429,237.25,2,118.625,118.625
,Conv2D104,426.95799999999997,4,108.917,106.73949999999999
,Transpose416,840.71,8,106.667,105.08875
,Conv2D66,414.376,4,121.5,103.594
,trans_TransData_55,123554.258,1200,131.208,102.96188166666667
,Transpose410,1748.21,18,122.438,97.12277777777778
,Add408,2169.79,26,102.396,83.45346153846154
,ReduceMean437,158.376,2,79.188,79.188
,Conv2D77,311.168,4,78.917,77.792
,BatchMatMul436,151.416,2,75.708,75.708
,Mul51,1337.042,20,68.771,66.8521
,Add52,1332.458,20,68.146,66.6229
,Relu53,1042.958,16,67.333,65.184875
,MatMul424,729.332,12,76.208,60.77766666666667
,Transpose427,119.458,2,59.729,59.729
,Add67,468.834,8,70.438,58.60425
,Cumsum82,228.25,4,57.167,57.0625
,Cos99,450.584,8,57.375,56.323
,Sin97,439.914,8,56.458,54.98925
,ConcatD101,179.042,4,45.792,44.7605
,Pack407/PackBase_node0,160.792,4,40.896,40.198
,Relu439,74.292,2,37.146,37.146
,Mul411,280.502,8,36.167,35.06275
,LayerNorm433,277.45799999999997,8,36.104,34.682249999999996
,Add63,680.252,20,34.979,34.0126
,Mul62,675.626,20,34.938,33.7813
,Relu64,539.414,16,35.312,33.713375
,Pack100,249.5,8,32.896,31.1875
,BatchMatMul430,62.334,2,31.167,31.167
,Add78,236.834,8,33.896,29.60425
,BatchMatMul428,51.624,2,25.812,25.812
,Cast103,98.666,4,25.333,24.6665
,Mul73,461.502,20,27.042,23.0751
,Transpose431,85.542,4,22.625,21.3855
,AsStrided106,169.248,8,36.604,21.156
,Add74,365.794,20,19.146,18.2897
,Relu75,288.002,16,20.042,18.000125
,Transpose425,105.25,6,18.604,17.541666666666668
,ReduceMean432,32.834,2,16.417,16.417
,AsStrided260,125.208,8,17.896,15.651
,AsStrided253,122.084,8,17.708,15.2605
,AsStrided243,121.874,8,16.458,15.23425
,AsStrided256,121.834,8,16.979,15.22925
,AsStrided337,121.542,8,16.979,15.19275
,AsStrided374,121.292,8,16.333,15.1615
,AsStrided246,120.958,8,16.958,15.11975
,AsStrided238,120.792,8,16.771,15.099
,AsStrided223,120.75,8,16.542,15.09375
