Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,13197.146,13821,0.955,0.646,572.083,46.019
0,acl,aclCreateTensorDesc,24896.812,13821,1.801,0.792,992.625,187.99
0,acl,aclDestroyTensorDesc,26174.937,13821,1.894,0.729,2413.312,768.455
0,acl,aclopCompileAndExecute,209870897.708,3616,58039.518,21.417,3989095.896,28678348002.917
0,acl,aclopCreateAttr,230.208,147,1.566,0.771,54.625,19.421
0,acl,aclopDestroyAttr,640.292,147,4.356,1.083,36.708,16.662
0,acl,aclrtGetCurrentContext,3413.396,429,7.957,5.958,39.562,8.824
0,acl,aclrtMemcpy,2398.542,13,184.503,5.104,1171.708,172547.264
0,acl,aclrtMemcpyAsync,205.062,2,102.531,16.417,188.646,7415.721
0,acl,aclrtSetCurrentContext,8782.167,429,20.471,15.667,207.708,126.707
0,acl,aclrtSynchronizeDeviceWithTimeout,206.958,1,206.958,206.958,206.958,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,1276.833,13,98.218,28.875,368.375,7040.829
0,node,launch,210341.771,3752,56.061,9.417,3684.792,22922.375
0,acl,opCompile,207627886.854,3616,57419.216,3.771,3787782.333,27821257502.379
