Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID
0,4294967295,45,1,Abs15,N/A,N/A,N/A,1764070180513626.111	,3.292,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,46,1,Equal16,N/A,N/A,N/A,1764070180961050.756	,4.458,447421.354,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,47,1,ReduceAny17,N/A,N/A,N/A,1764070181429153.632	,3.625,468098.417,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,48,1,Abs15,N/A,N/A,N/A,1764070181430326.465	,2.854,1169.208,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,49,1,Equal16,N/A,N/A,N/A,1764070181430411.048	,3.646,81.729,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,50,1,ReduceAny17,N/A,N/A,N/A,1764070181430470.506	,2.167,55.812,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,51,1,Cast18,N/A,N/A,N/A,1764070181913230.236	,3.875,482757.562,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,52,1,Sub19,N/A,N/A,N/A,1764070182390671.319	,3.854,477437.208,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,53,1,Add20,N/A,N/A,N/A,1764070182879540.652	,4.229,488865.479,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,54,1,Cast18,N/A,N/A,N/A,1764070182879718.152	,2.083,173.271,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,55,1,RealDiv21,N/A,N/A,N/A,1764070183378658.798	,4.021,498938.562,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,56,1,Abs22,N/A,N/A,N/A,1764070183835627.382	,3.583,456964.562,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,57,1,Equal23,N/A,N/A,N/A,1764070184305470.652	,4.396,469839.688,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,58,1,ReduceAny24,N/A,N/A,N/A,1764070184758455.402	,4.062,452980.354,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,59,1,Abs22,N/A,N/A,N/A,1764070184759063.965	,2.125,604.5,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,60,1,Equal23,N/A,N/A,N/A,1764070184759179.736	,2.854,113.646,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,61,1,ReduceAny24,N/A,N/A,N/A,1764070184759320.132	,2.062,137.542,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,62,1,Cast25,N/A,N/A,N/A,1764070185234511.236	,3.646,475189.042,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,63,1,Sub26,N/A,N/A,N/A,1764070185674738.944	,464.917,440224.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,64,1,Add27,N/A,N/A,N/A,1764070186155988.152	,3.875,480784.292,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,65,1,Cast25,N/A,N/A,N/A,1764070186156131.715	,2.229,139.688,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,66,1,RealDiv28,N/A,N/A,N/A,1764070186600237.861	,440.062,444103.917,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,67,1,Abs22,N/A,N/A,N/A,1764070186600678.006	,2.542,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,68,1,Equal23,N/A,N/A,N/A,1764070186600714.548	,3.062,34.0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,69,1,ReduceAny24,N/A,N/A,N/A,1764070186600803.173	,2.417,85.562,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,70,1,Abs22,N/A,N/A,N/A,1764070186601250.861	,2.021,445.271,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,71,1,Equal23,N/A,N/A,N/A,1764070186601415.798	,2.312,162.917,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,72,1,ReduceAny24,N/A,N/A,N/A,1764070186601507.111	,1.938,89.0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,73,1,Cast25,N/A,N/A,N/A,1764070186602137.986	,2.396,628.938,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,74,1,Sub26,N/A,N/A,N/A,1764070186602198.965	,413.271,58.583,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,75,1,Add27,N/A,N/A,N/A,1764070186602612.319	,2.167,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,76,1,Cast25,N/A,N/A,N/A,1764070186602614.569	,2.083,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,77,1,RealDiv28,N/A,N/A,N/A,1764070186602616.715	,387.083,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,78,1,trans_Cast_12,N/A,N/A,N/A,1764070187465745.402	,7.854,862741.604,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,79,1,trans_Cast_13,N/A,N/A,N/A,1764070187465823.756	,2.833,70.5,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,80,1,MatMul29,N/A,N/A,N/A,1764070187465879.340	,9.021,52.75,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,81,1,trans_Cast_14,N/A,N/A,N/A,1764070187465931.819	,2.562,43.458,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,82,1,trans_Cast_15,N/A,N/A,N/A,1764070188060646.673	,5.333,594712.292,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,83,1,trans_Cast_16,N/A,N/A,N/A,1764070188060952.048	,2.812,300.042,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,84,1,MatMul30,N/A,N/A,N/A,1764070188061027.048	,10.792,72.188,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,85,1,trans_Cast_17,N/A,N/A,N/A,1764070188062919.923	,2.292,1882.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,86,1,Cast31,N/A,N/A,N/A,1764070188539219.215	,379.646,476297.0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,87,1,trans_TransData_18,N/A,N/A,N/A,1764070189072950.298	,592.812,533351.438,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,88,1,Conv2D32,N/A,N/A,N/A,1764070189073543.173	,3611.083,0.062,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,89,1,Add33,N/A,N/A,N/A,1764070189583668.819	,4.104,506514.562,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,90,1,Rsqrt34,N/A,N/A,N/A,1764070190035364.632	,3.729,451691.708,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,91,1,Mul35,N/A,N/A,N/A,1764070190499131.340	,3.958,463762.979,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,92,1,Mul35,N/A,N/A,N/A,1764070190499260.382	,2.0,125.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,93,1,Sub36,N/A,N/A,N/A,1764070190958116.236	,3.708,458853.854,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,94,1,trans_TransData_19,N/A,N/A,N/A,1764070191471164.944	,4.208,513045.0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,95,1,Mul37,N/A,N/A,N/A,1764070191471236.736	,1022.292,67.583,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,96,1,trans_TransData_20,N/A,N/A,N/A,1764070191989578.256	,3.771,517319.229,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,97,1,Add38,N/A,N/A,N/A,1764070191989970.986	,1084.167,388.958,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,98,1,Relu39,N/A,N/A,N/A,1764070192460031.340	,1176.833,468976.188,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,99,1,MaxPoolWithArgmaxV140,N/A,N/A,N/A,1764070192952409.340	,2587.271,491201.167,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,100,1,Conv2D41,N/A,N/A,N/A,1764070193419765.236	,539.542,464768.625,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
