Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,Abs15,KERNEL_AIVEC,1,45,3.291,1764070180513626.110	,1764070180513629.401	
0,Equal16,KERNEL_AIVEC,1,46,4.458,1764070180961050.756	,1764070180961055.214	
0,ReduceAny17,KERNEL_AIVEC,1,47,3.625,1764070181429153.631	,1764070181429157.256	
0,Abs15,KERNEL_AIVEC,1,48,2.854,1764070181430326.464	,1764070181430329.318	
0,Equal16,KERNEL_AIVEC,1,49,3.645,1764070181430411.048	,1764070181430414.693	
0,ReduceAny17,KERNEL_AIVEC,1,50,2.166,1764070181430470.506	,1764070181430472.672	
0,Cast18,KERNEL_AIVEC,1,51,3.875,1764070181913230.235	,1764070181913234.110	
0,Sub19,KERNEL_AIVEC,1,52,3.854,1764070182390671.319	,1764070182390675.173	
0,Add20,KERNEL_AIVEC,1,53,4.229,1764070182879540.652	,1764070182879544.881	
0,Cast18,KERNEL_AIVEC,1,54,2.083,1764070182879718.152	,1764070182879720.235	
0,RealDiv21,KERNEL_AIVEC,1,55,4.02,1764070183378658.798	,1764070183378662.818	
0,Abs22,KERNEL_AIVEC,1,56,3.583,1764070183835627.381	,1764070183835630.964	
0,Equal23,KERNEL_AIVEC,1,57,4.395,1764070184305470.652	,1764070184305475.047	
0,ReduceAny24,KERNEL_AIVEC,1,58,4.062,1764070184758455.402	,1764070184758459.464	
0,Abs22,KERNEL_AIVEC,1,59,2.125,1764070184759063.964	,1764070184759066.089	
0,Equal23,KERNEL_AIVEC,1,60,2.854,1764070184759179.735	,1764070184759182.589	
0,ReduceAny24,KERNEL_AIVEC,1,61,2.062,1764070184759320.131	,1764070184759322.193	
0,Cast25,KERNEL_AIVEC,1,62,3.645,1764070185234511.235	,1764070185234514.880	
0,Sub26,KERNEL_AIVEC,1,63,464.916,1764070185674738.944	,1764070185675203.860	
0,Add27,KERNEL_AIVEC,1,64,3.875,1764070186155988.152	,1764070186155992.027	
0,Cast25,KERNEL_AIVEC,1,65,2.229,1764070186156131.714	,1764070186156133.943	
0,RealDiv28,KERNEL_AIVEC,1,66,440.062,1764070186600237.860	,1764070186600677.922	
0,Abs22,KERNEL_AIVEC,1,67,2.541,1764070186600678.006	,1764070186600680.547	
0,Equal23,KERNEL_AIVEC,1,68,3.062,1764070186600714.548	,1764070186600717.610	
0,ReduceAny24,KERNEL_AIVEC,1,69,2.416,1764070186600803.173	,1764070186600805.589	
0,Abs22,KERNEL_AIVEC,1,70,2.02,1764070186601250.860	,1764070186601252.880	
0,Equal23,KERNEL_AIVEC,1,71,2.312,1764070186601415.798	,1764070186601418.110	
0,ReduceAny24,KERNEL_AIVEC,1,72,1.937,1764070186601507.110	,1764070186601509.047	
0,Cast25,KERNEL_AIVEC,1,73,2.395,1764070186602137.985	,1764070186602140.380	
0,Sub26,KERNEL_AIVEC,1,74,413.27,1764070186602198.964	,1764070186602612.234	
0,Add27,KERNEL_AIVEC,1,75,2.166,1764070186602612.319	,1764070186602614.485	
0,Cast25,KERNEL_AIVEC,1,76,2.083,1764070186602614.569	,1764070186602616.652	
0,RealDiv28,KERNEL_AIVEC,1,77,387.083,1764070186602616.714	,1764070186603003.797	
0,trans_Cast_12,KERNEL_AIVEC,1,78,7.854,1764070187465745.402	,1764070187465753.256	
0,trans_Cast_13,KERNEL_AIVEC,1,79,2.833,1764070187465823.756	,1764070187465826.589	
0,MatMul29,KERNEL_AICORE,1,80,9.02,1764070187465879.339	,1764070187465888.359	
0,trans_Cast_14,KERNEL_AIVEC,1,81,2.562,1764070187465931.819	,1764070187465934.381	
0,trans_Cast_15,KERNEL_AIVEC,1,82,5.333,1764070188060646.673	,1764070188060652.006	
0,trans_Cast_16,KERNEL_AIVEC,1,83,2.812,1764070188060952.048	,1764070188060954.860	
0,MatMul30,KERNEL_AICORE,1,84,10.791,1764070188061027.048	,1764070188061037.839	
0,trans_Cast_17,KERNEL_AIVEC,1,85,2.291,1764070188062919.923	,1764070188062922.214	
0,Cast31,KERNEL_AIVEC,1,86,379.645,1764070188539219.214	,1764070188539598.859	
0,trans_TransData_18,KERNEL_AIVEC,1,87,592.812,1764070189072950.298	,1764070189073543.110	
0,Conv2D32,KERNEL_AICORE,1,88,3611.083,1764070189073543.173	,1764070189077154.256	
0,Add33,KERNEL_AIVEC,1,89,4.104,1764070189583668.819	,1764070189583672.923	
0,Rsqrt34,KERNEL_AIVEC,1,90,3.729,1764070190035364.631	,1764070190035368.360	
0,Mul35,KERNEL_AIVEC,1,91,3.958,1764070190499131.339	,1764070190499135.297	
0,Mul35,KERNEL_AIVEC,1,92,2.0,1764070190499260.381	,1764070190499262.381	
0,Sub36,KERNEL_AIVEC,1,93,3.708,1764070190958116.235	,1764070190958119.943	
0,trans_TransData_19,KERNEL_AIVEC,1,94,4.208,1764070191471164.944	,1764070191471169.152	
0,Mul37,KERNEL_AIVEC,1,95,1022.291,1764070191471236.735	,1764070191472259.026	
0,trans_TransData_20,KERNEL_AIVEC,1,96,3.77,1764070191989578.256	,1764070191989582.026	
0,Add38,KERNEL_AIVEC,1,97,1084.166,1764070191989970.985	,1764070191991055.151	
0,Relu39,KERNEL_AIVEC,1,98,1176.833,1764070192460031.339	,1764070192461208.172	
0,MaxPoolWithArgmaxV140,KERNEL_AIVEC,1,99,2587.27,1764070192952409.339	,1764070192954996.609	
0,Conv2D41,KERNEL_AICORE,1,100,539.541,1764070193419765.235	,1764070193420304.776	
0,Add33,KERNEL_AIVEC,1,101,2.729,1764070193420304.839	,1764070193420307.568	
0,Rsqrt34,KERNEL_AIVEC,1,102,2.229,1764070193420307.652	,1764070193420309.881	
0,Mul35,KERNEL_AIVEC,1,103,2.604,1764070193420309.944	,1764070193420312.548	
0,Mul35,KERNEL_AIVEC,1,104,2.083,1764070193420312.610	,1764070193420314.693	
0,Sub36,KERNEL_AIVEC,1,105,2.541,1764070193420314.777	,1764070193420317.318	
0,trans_TransData_21,KERNEL_AIVEC,1,106,3.937,1764070193955796.319	,1764070193955800.256	
0,Mul42,KERNEL_AIVEC,1,107,188.583,1764070193955847.944	,1764070193956036.527	
0,trans_TransData_22,KERNEL_AIVEC,1,108,4.395,1764070194478167.694	,1764070194478172.089	
0,Add43,KERNEL_AIVEC,1,109,132.229,1764070194478237.527	,1764070194478369.756	
0,Relu44,KERNEL_AIVEC,1,110,130.583,1764070194923628.756	,1764070194923759.339	
0,Conv2D41,KERNEL_AICORE,1,111,408.041,1764070194923826.902	,1764070194924234.943	
0,Add33,KERNEL_AIVEC,1,112,2.479,1764070194924235.006	,1764070194924237.485	
0,Rsqrt34,KERNEL_AIVEC,1,113,2.312,1764070194924237.569	,1764070194924239.881	
